OBJECTID,Date,Dead,Serious injuries,Light injuries,Day of the week,Day/Night,Type of the accident,Cause of the accident,Alcohol or drugs,Weather conditions,Place,Vehicle type,Vehicle characteristic,Skid,Total damage in Czk,x,y
131,12/11/2017,0,0,1,Monday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1856214.050097526,6303718.713762286
132,12/11/2017,0,0,0,Monday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845558.2035710106,6308679.636876561
133,12/11/2017,0,0,1,Monday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,15000,1839623.2435472272,6312379.018481294
134,12/11/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847891.6820691028,6302698.65329057
135,12/10/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846940.9834501445,6311054.1756377695
136,12/10/2017,0,0,0,Sunday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Gas station,Truck,"Private, not used for business activity",No,50000,1845093.3433962103,6312021.23793208
137,12/10/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850613.4677753258,6300487.3112638425
138,12/10/2017,0,0,1,Sunday,Day,Collision with a non rail vehicle ,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1852426.0143597901,6308030.98952474
139,12/10/2017,0,0,0,Sunday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,30000,1848965.0886080374,6307638.11484866
140,12/10/2017,0,0,0,Sunday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849458.6446098527,6306745.520969698
141,12/10/2017,0,0,1,Sunday,Day,Other collisions,The driver of the motor vehicle,No,Snow,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,60000,1833782.3263405887,6318500.330419268
142,12/9/2017,0,0,1,Saturday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1851143.8208801022,6301297.504399458
143,12/9/2017,0,0,0,Saturday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1851603.060088535,6302621.226461156
144,12/9/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850383.4508718494,6308905.373641419
145,12/9/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852455.4029279982,6304912.350233868
146,12/9/2017,0,0,0,Saturday,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,3000,1840077.280573218,6314527.363516448
147,12/9/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1844992.9764074765,6319370.877143136
148,12/9/2017,0,0,0,Saturday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1851694.069783509,6310541.576278161
149,12/8/2017,0,0,0,Friday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,80000,1847337.1771989232,6306626.831832418
150,12/8/2017,0,0,1,Friday,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,0,1850557.043153711,6310149.523710313
151,12/8/2017,0,0,1,Friday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847803.9245730506,6301641.137065032
152,12/8/2017,0,0,1,Friday,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1849198.7349721922,6307313.642930563
153,12/8/2017,0,0,0,Friday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Police,No,5000,1846770.7846316444,6314371.6397636095
154,12/7/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Not identified,No,0,1851244.8121485384,6301982.836701555
155,12/7/2017,0,0,0,Thursday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,40000,1850468.4705763424,6301937.071453809
156,12/7/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,Yes,30000,1847441.4620771366,6321106.502195672
157,12/7/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of alcohol,Clear,Near the pedestrian crossing,Truck,Private company,No,5000,1848350.867621539,6311786.774299337
158,12/7/2017,0,0,1,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1854659.670110135,6309040.155600217
159,12/7/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847968.6287728045,6309577.268632356
160,12/7/2017,0,0,2,Thursday,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1850818.597982122,6308913.024226982
161,12/7/2017,0,0,0,Thursday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1858609.0544329018,6309126.563157967
162,12/7/2017,0,0,0,Thursday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Registered outside of the Czech Republic,No,0,1850649.7494690407,6306462.394566645
163,12/7/2017,0,0,1,Thursday,Day,Collision with pedestrian,Pedestrian,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Bus,Public transport - city- local ,No,0,1852573.556656288,6309265.981929054
164,12/7/2017,0,0,0,Thursday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,50000,1852795.4886477867,6311260.84992034
165,12/7/2017,0,0,0,Thursday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,0,1851162.7439690195,6301263.9706247
166,12/7/2017,0,0,0,Thursday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1845984.2456374918,6312433.670437251
167,12/7/2017,0,0,0,Thursday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,150000,1846989.7436135008,6311126.599724193
168,12/6/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Truck with semi-trailer,Registered outside of the Czech Republic,No,5000,1844879.4543492415,6310760.458053484
169,12/6/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Truck,"Private, used for business activity",No,0,1848814.806961505,6307613.248739364
170,12/6/2017,0,0,0,Wednesday,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,1000,1848951.1939318336,6308204.709663805
171,12/6/2017,0,0,2,Wednesday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,300000,1850291.5458342074,6313203.614188577
172,12/6/2017,0,0,0,Wednesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,1000,1847786.0025803072,6310903.157757279
173,12/6/2017,0,0,0,Wednesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,Under influence of alcohol,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,20000,1854874.6699029875,6307112.052503731
174,12/6/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1839959.3242143795,6312608.766504723
175,12/6/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,"At the beginning of the rain, light rain, drizzle, etc.",Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849849.660889114,6310585.631803029
176,12/6/2017,0,0,0,Wednesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846490.6938834982,6314045.692777171
177,12/5/2017,0,0,0,Tuesday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,5000,1852180.738448426,6306904.852488248
178,12/5/2017,0,0,0,Tuesday,Day,Other collisions,The driver of the motor vehicle,Not tested,Rain,"Bridge, overpass, underpass, tunnel","Not identified, the driver has fled",Not identified,No,0,1844337.1240464924,6308143.378297704
179,12/5/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,30000,1849923.6859014595,6308435.854756985
180,12/5/2017,0,0,0,Tuesday,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846615.4023260472,6308710.435548407
181,12/5/2017,0,0,1,Tuesday,Day,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Motorbike,"Private, not used for business activity",No,10000,1851940.1676779885,6306641.871010167
182,12/4/2017,1,0,0,Monday,Night,Collision with a non rail vehicle ,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Registered outside of the Czech Republic,No,150000,1851510.3308413795,6302620.889730318
183,12/4/2017,0,0,1,Monday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,1000,1853826.828553029,6297997.80926075
184,12/4/2017,0,0,0,Monday,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1848805.1395316515,6308102.330442966
185,12/4/2017,0,0,0,Monday,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857210.3767946446,6310466.228444028
186,12/4/2017,0,0,1,Monday,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,3000,1849256.6076377488,6310029.9512031935
