objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
111,2020/12/14 00:00,0,0,0,Thu,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,120000,1849455.8046270057,6308573.754939099,49.19828692200009,16.613944166000067
112,2020/12/14 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848287.9898090367,6306119.965070963,49.18388112600007,16.60345350700004
113,2020/12/13 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bus stop, trolleybus, tramway without boarding. islet",Bus,Public transport,No,10000,1845571.243090881,6312189.101515885,49.21950438300006,16.579048556000032
114,2020/12/13 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1850288.4934537718,6305732.089929772,49.18160359100005,16.62142433700006
115,2020/12/13 00:00,0,0,1,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,50000,1850644.7537842533,6309915.395516928,49.20616169900006,16.624624678000032
116,2020/12/13 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1848458.9214437467,6307684.6368823275,49.19306754100006,16.604989012000033
117,2020/12/13 00:00,0,0,0,Wed,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846307.2798829623,6318237.209060956,49.25497868400002,16.58566048700004
118,2020/12/13 00:00,0,0,0,Wed,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846579.1563658842,6316119.10336097,49.24255814000003,16.588102795000054
119,2020/12/13 00:00,0,0,0,Wed,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Private company,No,20000,1849269.602407183,6309220.439487892,49.20208280200006,16.61227148300003
120,2020/12/13 00:00,0,0,0,Wed,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1851082.7764996188,6303243.691980169,49.16698966000007,16.628559503000076
121,2020/12/12 00:00,0,0,1,Tue,Night,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,50000,1850898.5377329781,6315429.5709829545,49.238514057000025,16.62690445800007
122,2020/12/12 00:00,0,1,0,Tue,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,0,1850848.909500231,6303634.625390508,49.16928583000003,16.626458640000063
123,2020/12/12 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847281.7487754258,6311516.343786256,49.21555684500003,16.59441429000003
124,2020/12/12 00:00,0,0,0,Tue,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,0,1851109.4271649488,6301417.852997165,49.156264079000024,16.628798910000054
125,2020/12/12 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Registered outside of the Czech Republic,No,50000,1845154.6482643066,6304960.468291977,49.17707245200006,16.575306221000062
126,2020/12/12 00:00,0,0,1,Tue,Day,Other collisions,Pedestrian,Under influence of alcohol,Clear,"Bus, trolleybus, tram stop. islet",Bus,Public transport,No,0,1847449.375111815,6314054.352266688,49.230447459000054,16.595920103000026
127,2020/12/12 00:00,0,0,0,Tue,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,150000,1840811.3683836497,6312785.490879604,49.22300355100003,16.536289874000033
128,2020/12/12 00:00,0,0,0,Tue,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,Private company,No,150000,1850416.1344969855,6304552.772767651,49.17467820300003,16.62257095600006
129,2020/12/11 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,Registered outside of the Czech Republic,No,90000,1856272.7927248974,6302766.450804483,49.164186412000035,16.67518221200004
130,2020/12/11 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1850575.6269408206,6309985.260485293,49.20657173800003,16.62400370100005
131,2020/12/11 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1856214.050097526,6303718.713762286,49.169779714000065,16.674654518000068
132,2020/12/11 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1845558.2035710106,6308679.636876561,49.19890844300004,16.57893142000006
133,2020/12/11 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,15000,1839623.2435472272,6312379.018481294,49.22061870100004,16.525616767000027
134,2020/12/11 00:00,0,0,0,Mon,Night,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847891.6820691028,6302698.65329057,49.16378816600006,16.599893414000064
135,2020/12/10 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1846940.9834501445,6311054.1756377695,49.21284480000003,16.59135314300005
136,2020/12/10 00:00,0,0,0,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Gas station,Truck,"Private, not used for business activity",No,50000,1845093.3433962103,6312021.23793208,49.21851944000007,16.574755510000045
137,2020/12/10 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850613.4677753258,6300487.3112638425,49.15079687600007,16.624343631000045
138,2020/12/10 00:00,0,0,1,Sun,Day,Collision with a non rail vehicle,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1852426.0143597901,6308030.98952474,49.19510079700006,16.640626014000077
139,2020/12/10 00:00,0,0,0,Sun,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,"Private, not used for business activity",No,30000,1848965.0886080374,6307638.11484866,49.19279442800006,16.60953598900005
140,2020/12/10 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849458.6446098527,6306745.520969698,49.187554060000075,16.613969678000046
141,2020/12/10 00:00,0,0,1,Sun,Day,Other collisions,The driver of the motor vehicle,No,Snow,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,60000,1833782.3263405887,6318500.330419268,49.256521406000054,16.47314691500003
142,2020/12/09 00:00,0,0,1,Sat,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,0,1851143.8208801022,6301297.504399458,49.15555703000006,16.629107874000056
143,2020/12/09 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,30000,1851603.060088535,6302621.226461156,49.16333335300004,16.633233290000074
144,2020/12/09 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1850383.4508718494,6308905.373641419,49.200233479000076,16.622277354000058
145,2020/12/09 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1852455.4029279982,6304912.350233868,49.17678987800007,16.64089001600007
146,2020/12/09 00:00,0,0,0,Sat,Day,Collision with wildlife animals,"Forest animals, pets",Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,3000,1840077.280573218,6314527.363516448,49.23322214200004,16.529695451000066
147,2020/12/09 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Truck,Private company,No,0,1844992.9764074765,6319370.877143136,49.26162521500004,16.57385389800004
148,2020/12/09 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,Private company,No,10000,1851694.069783509,6310541.576278161,49.20983664600003,16.634050844000058
149,2020/12/08 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,80000,1847337.1771989232,6306626.831832418,49.18685720100006,16.594912212000054
150,2020/12/08 00:00,0,0,1,Fri,Day,Collision with pedestrian,Pedestrian,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,0,1850557.043153711,6310149.523710313,49.20753578900007,16.623836760000074
151,2020/12/08 00:00,0,0,1,Fri,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,1000,1847803.9245730506,6301641.137065032,49.15757584800007,16.599105075000068
152,2020/12/08 00:00,0,0,1,Fri,Night,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,0,1849198.7349721922,6307313.642930563,49.19088953600003,16.611634870000042
153,2020/12/08 00:00,0,0,0,Fri,Day,Collision with a fixed obstacle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Police,No,5000,1846770.7846316444,6314371.6397636095,49.23230868400003,16.58982422100007
154,2020/12/07 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,Not identified,No,0,1851244.8121485384,6301982.836701555,49.15958322800003,16.630015094000044
155,2020/12/07 00:00,0,0,0,Thu,Night,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,40000,1850468.4705763424,6301937.071453809,49.15931437600004,16.623041099000034
156,2020/12/07 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,Yes,30000,1847441.4620771366,6321106.502195672,49.271799198000046,16.59584901900007
157,2020/12/07 00:00,0,0,0,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,Near the pedestrian crossing,Truck,Private company,No,5000,1848350.867621539,6311786.774299337,49.217143687000025,16.604018348000068
158,2020/12/07 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Private company,No,0,1854659.670110135,6309040.155600217,49.20102460900006,16.660691285000038
159,2020/12/07 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1847968.6287728045,6309577.268632356,49.204177177000076,16.600584638000043
160,2020/12/07 00:00,0,0,2,Thu,Day,Collision with a tram,The driver of the motor vehicle,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,0,1850818.597982122,6308913.024226982,49.20027838600004,16.626186347000043
161,2020/12/07 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1858609.0544329018,6309126.563157967,49.20153178900005,16.69616920800007
